Year,I. Total Multilateral,Total Government Borrowing Multilateral,Total Concessional GB Multilateral,a) IDA Concessional GB Multilateral,b) Others Concessional GB Multilateral,Total Non - Concessional GB Multilateral,a) IBRD Non - Concessional GB Multilateral,b) Others Non - Concessional GB Multilateral,Total Non-Government Borrowing Multilateral,Concessional NGB Multilateral,Total Non - Concessional NGB Multilateral,a) Public sector Non - Concessional NGB Multilateral,a.1) IBRD Non - Concessional NGB Multilateral,a.2) Others Non - Concessional NGB Multilateral,b) Financial institutions Non - Concessional NGB Multilateral,b.1) IBRD Non - Concessional NGB Multilateral,b.2) Others Non - Concessional NGB Multilateral,c) Private sector Non - Concessional NGB Multilateral,c.1) IBRD Non - Concessional NGB Multilateral,c.2) Others Non - Concessional NGB Multilateral,II.Total Bilateral,Total Government Borrowing Bilateral,Concessional GB Bilateral,Non - Concessional GB Bilateral,Total Non-Government Borrowing Bilateral,Total Concessinal NGB Bilateral,a) Public sector Concessional NGB Bilateral,b) Financial institutions concessional NGB Bilateral,c) Private sector concessional NGB Bilateral,Total  Non - Concessional NGB Bilateral,a) Public sector Non - Concessional NGB Bilateral,b) Financial institutions Non - Concessional NGB Bilateral,c) Private sector Non - Concessional NGB Bilateral,III. International Monetary Fund,IV.Total Trade Credit,a) Buyers credit TC,b) Suppliers credit TC,c) Export credit component of bilateral credit TC,d) Export credit for defence purposes TC,V.Total Commercial Borrowing,a) Commercial bank loans CB,b) Securitized borrowings(inclu. IDBs and FCCBs) CB,c) Loans/securitized multi/bilateral guarantee and IFC(W) CB,d) Self Liquidating Loans CB,VI. NRI & FC(B&O) Deposits,VII. Total Rupee Debt,a) Defence RD,b) Civilian RD,VIII. Total Long-Term Debt,IX. Total Short-term Debt,a) NRI deposits (up to 1 year maturity) STD,c) Trade related Credits STD,c.1) 6 months and above up to 1 year STD,c.2) Upto 6 months STD,d) FII Investments in Govt T Bills and other instruments STD,e) Investment in Treasury Bills by Foreign central Banks and International Institutions etc. STD,f) External Debt Liabilities of STD,f.1 External Debt Liabilities of Central Bank STD,f.2 External Debt Liabilities of Commercial Bank STD,Gross Total Debt,Concessional Debt as % of Total Debt,Short Term Debt As % of Total Debt,Debt Stock - GDP Ratio,Debt Service Ratio(%)
1991,20900,19887,13377,13052,325,6510,6293,217,1013,0,1013,157,157,0,657,451,206,199,171,28,14168,11936,11936,0,2232,266,0,266,0,1966,1530,273,163,2623,4301,1154,483,719,1945,10209,6831,3022,356,0,10209,12847,11645,1202,75257,8544,3577,4800,2533,2267,0,0,0,0,0,83801,45.9,10.2,28.7,35.3
1992,23090,21651,14320,13974,346,7331,6796,535,1439,0,1439,458,308,150,754,553,201,227,202,25,15466,13099,13099,0,2367,348,0,348,0,2019,1432,396,191,3451,3990,1142,442,791,1615,11715,6704,4512,484,15,10083,10420,9222,1198,78215,7070,2486,4227,2710,1517,0,0,0,0,0,85285,44.8,8.3,38.7,30.2
1993,25008,23247,15503,15169,334,7744,6947,797,1761,0,1761,572,418,154,928,576,352,261,228,33,16154,13578,13578,0,2576,400,0,400,0,2176,1513,503,160,4799,4322,1277,656,1181,1208,11643,6453,4479,674,37,11141,10616,9661,955,83683,6340,2603,2958,1165,1793,0,0,0,0,0,90023,44.5,7,37.5,27.5
1994,26263,24158,16044,15721,323,8114,7203,911,2105,0,2105,891,690,201,869,533,336,345,305,40,17450,14519,14519,0,2931,465,61,404,0,2466,1745,547,174,5040,5203,1745,1316,1263,879,12363,5959,5278,775,351,12665,10084,9160,924,89068,3627,1300,1794,1794,0,0,0,0,0,0,92695,44.4,3.9,33.8,25.4
1995,28542,26127,17777,17438,339,8350,7136,1214,2415,0,2415,1033,640,393,813,510,303,569,512,57,20270,16841,16841,0,3429,603,208,395,0,2826,1943,598,285,4300,6629,1977,2042,1464,1146,12991,5837,5377,952,825,12383,9624,8763,861,94739,4269,2278,1991,1991,0,0,0,0,0,0,99008,45.3,4.3,30.8,25.9
1996,28616,26059,17576,17263,313,8483,6938,1545,2557,0,2557,1353,860,493,721,481,240,483,364,119,19213,15535,15232,303,3678,903,110,793,0,2775,1631,639,505,2374,5376,2101,1567,1325,383,13873,6731,5751,888,503,11011,8233,7488,745,88696,5034,2883,2151,2151,0,0,0,0,0,0,93730,44.7,5.4,27,26.2
1997,29218,26369,17636,17337,299,8733,6772,1961,2849,0,2849,1318,929,389,665,450,215,866,456,410,17494,13652,13394,258,3842,948,293,655,0,2894,1453,678,763,1313,5861,3116,1335,1165,245,14335,8349,4825,981,180,11012,7511,6847,664,86744,6726,3773,2953,2953,0,0,0,0,0,0,93470,42.2,7.2,24.6,23
1998,29553,26344,17836,17541,295,8508,6430,2078,3209,0,3209,2216,1319,897,550,256,294,443,334,109,16969,12998,12786,212,3971,448,49,399,0,3523,1358,1067,1098,664,6526,3908,1380,1112,126,16986,9981,6022,874,109,11913,5874,5311,563,88485,5046,2192,2854,2854,0,0,0,0,0,0,93531,39.5,5.4,24.3,19.5
1999,30534,26967,18596,18301,295,8371,6062,2309,3567,0,3567,2523,1495,1028,641,249,392,403,309,94,17499,13447,13286,161,4052,645,124,521,0,3407,1224,1028,1155,287,6789,4265,1303,1155,66,20978,10343,9772,808,55,11794,4731,4243,488,92612,4274,2086,2188,2188,0,0,0,0,0,0,96886,38.5,4.4,23.6,18.7
2000,31438,27584,19269,18964,305,8315,5810,2505,3854,0,3854,2793,1589,1204,710,229,481,351,269,82,18175,13966,13613,353,4209,922,341,581,0,3287,1089,952,1246,26,6780,4297,1280,1184,19,19943,10094,9073,750,26,13559,4406,3964,442,94327,3936,1372,2564,2564,0,0,0,0,0,0,98263,38.9,4,22,17.1
